question_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
210056258830,C,E,D,E,A,A,E,C,D,E,E,C,A,C,E,D,E,E,B,C,A,B,E,A,C,E,E,D,A,E,A,E,A,E,A,E,D,C,A,A,E,C,D,B,B
210054500881,A,E,C,B,E,E,A,E,A,E,C,C,D,D,E,C,B,D,C,A,B,D,C,C,A,B,E,E,A,D,A,D,C,E,C,E,B,E,B,C,A,C,D,B,D
210057467105,D,D,E,D,D,B,C,C,D,A,C,C,B,A,C,B,B,C,B,A,C,C,A,D,B,A,C,A,E,C,E,B,E,E,D,D,B,C,B,E,A,D,E,*,B
210054914482,D,B,E,A,D,B,C,B,C,E,A,A,B,A,C,E,E,E,D,B,C,C,C,B,B,C,D,B,B,E,A,C,B,A,D,D,A,D,C,A,B,C,C,B,A
210054513731,A,A,D,C,E,C,C,C,D,A,C,C,B,C,C,B,B,A,B,A,A,E,C,A,B,D,C,E,D,A,B,A,E,B,B,D,D,C,C,D,A,D,E,D,A
210056360802,A,A,E,E,E,B,C,A,D,C,C,A,C,C,C,B,D,D,E,A,E,E,A,A,A,A,D,A,B,A,E,D,E,C,D,A,A,D,B,D,B,D,A,C,A
210054954631,E,A,C,E,E,C,C,B,D,A,C,B,E,B,D,B,C,D,A,D,C,C,B,A,A,A,C,A,B,A,E,B,E,D,D,D,C,D,A,A,B,D,E,A,B
210054582592,B,C,A,C,E,C,C,B,D,A,A,D,E,B,C,B,D,D,E,A,E,C,D,A,A,D,B,D,E,C,A,A,D,C,D,D,C,E,B,A,D,D,E,C,E
210055461803,B,B,E,B,D,C,C,B,D,E,D,C,A,A,C,C,A,D,B,A,B,E,D,A,E,A,C,A,A,B,E,D,E,C,A,E,A,E,E,E,B,D,E,A,B
210056969327,A,A,D,A,E,B,D,D,D,C,C,A,A,E,E,D,D,C,B,A,E,B,E,A,D,A,E,A,E,D,C,B,E,C,D,E,A,B,D,E,E,D,B,A,A
210056412330,B,D,E,C,D,C,C,C,D,C,C,C,D,C,C,B,B,D,E,A,E,E,C,A,B,A,E,A,E,D,E,B,A,B,D,E,A,C,B,D,B,D,B,A,A
210057635176,B,D,E,E,C,C,C,C,D,A,E,C,C,B,C,B,D,C,B,A,B,E,B,B,C,A,E,A,C,C,B,E,A,B,C,B,C,C,D,D,D,B,E,E,A
210056369596,E,A,E,A,E,C,E,A,D,E,C,A,C,D,C,E,B,E,D,A,E,D,B,E,B,A,D,A,E,E,E,B,A,D,E,B,A,D,B,D,D,D,E,A,C
210056146492,D,E,E,E,E,B,D,B,D,D,B,B,B,D,D,E,A,B,C,A,E,E,A,A,B,A,C,A,C,D,E,C,A,C,E,B,C,C,C,D,C,E,B,A,A
210057127351,B,E,B,B,B,A,C,C,D,E,C,B,C,A,C,C,D,B,E,A,E,E,E,A,B,A,D,A,E,D,B,A,A,B,D,D,E,E,B,D,D,D,B,A,A
210056452021,B,D,E,C,D,C,C,B,D,A,C,C,B,B,C,B,D,A,B,A,E,E,C,B,B,A,E,A,A,C,C,B,A,A,B,E,A,E,B,D,B,D,E,A,A
210057910497,E,B,E,B,D,A,A,E,A,D,B,A,C,C,E,C,E,E,A,D,C,E,D,A,B,E,D,C,A,C,B,D,A,B,A,B,C,C,A,A,E,B,C,E,B
210056025971,A,A,D,A,E,C,C,C,D,A,C,B,A,A,C,B,A,A,A,A,E,E,C,B,B,C,C,A,C,E,A,E,A,E,C,A,A,D,B,C,B,D,A,E,A
210055637842,D,C,B,D,A,D,B,C,E,E,C,A,E,D,A,A,C,B,B,E,C,D,B,C,E,A,A,C,B,E,C,D,D,A,B,D,B,C,E,E,D,C,A,D,E
210055967564,B,D,C,C,E,C,A,A,E,A,D,B,B,A,B,A,C,A,C,C,A,E,C,D,B,D,C,B,C,A,C,A,A,A,E,B,B,D,D,E,A,D,C,C,E
210055763601,D,B,D,C,A,B,D,A,D,E,C,B,D,C,D,A,B,C,C,D,C,A,C,D,B,C,A,D,C,B,D,A,C,D,A,B,D,C,D,A,D,C,D,C,D
210057132268,B,D,E,C,D,C,C,C,D,A,C,C,B,A,C,B,A,D,A,A,E,E,C,D,B,A,C,A,A,C,E,B,E,E,C,D,E,D,B,D,E,D,B,E,E
210056654475,B,B,C,D,D,C,C,E,D,B,C,A,B,E,C,D,B,A,A,A,E,D,C,D,D,A,A,A,B,E,C,D,B,A,C,E,D,B,B,D,C,B,B,A,C
210056894838,C,A,C,E,B,E,C,B,A,E,C,A,B,D,A,C,E,D,A,A,B,B,C,E,B,D,A,B,C,A,C,B,B,D,C,E,A,E,E,C,D,B,C,E,C
